DataZone,DataZoneName,IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
S01010548,Nairn Rural - 01,S02001985,Nairn Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010549,Nairn Rural - 02,S02001985,Nairn Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010550,Nairn Rural - 03,S02001985,Nairn Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010551,Nairn Rural - 04,S02001985,Nairn Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010552,Nairn Rural - 05,S02001985,Nairn Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010553,Nairn Rural - 06,S02001985,Nairn Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010554,Nairn East - 01,S02001986,Nairn East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010555,Nairn East - 02,S02001986,Nairn East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010556,Nairn East - 03,S02001986,Nairn East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010557,Nairn East - 04,S02001986,Nairn East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010558,Nairn East - 05,S02001986,Nairn East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010559,Nairn West - 01,S02001987,Nairn West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010560,Nairn West - 02,S02001987,Nairn West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010561,Nairn West - 03,S02001987,Nairn West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010562,Nairn West - 04,S02001987,Nairn West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010563,Nairn West - 05,S02001987,Nairn West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010564,Nairn West - 06,S02001987,Nairn West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010565,Nairn West - 07,S02001987,Nairn West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010566,Inverness East Rural - 01,S02001988,Inverness East Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010567,Inverness East Rural - 02,S02001988,Inverness East Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010568,Inverness East Rural - 03,S02001988,Inverness East Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010569,Inverness East Rural - 04,S02001988,Inverness East Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010570,Inverness East Rural - 05,S02001988,Inverness East Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
